state,number of saddle,sum force call minimization,sum force call saddle,total force call,% force call minimization,% force call saddle
0,10,3660,3754,7414,49.366064202859455,50.633935797140545
1,15,3265,3247,6512,50.13820638820639,49.86179361179361
2,15,3643,2036,5679,64.14861771438633,35.85138228561367
3,14,2740,1917,4657,58.836160618423875,41.163839381576125
4,11,2625,2153,4778,54.93930514859774,45.06069485140226
5,5,957,870,1827,52.38095238095238,47.61904761904762
6,3,545,482,1027,53.06718597857839,46.93281402142161
7,4,932,883,1815,51.349862258953166,48.650137741046834
8,4,900,1153,2053,43.83828543594739,56.16171456405261
9,3,731,801,1532,47.715404699738905,52.284595300261095
10,13,2881,4288,7169,40.18691588785047,59.81308411214953
11,9,1709,1808,3517,48.59255046914984,51.40744953085016
12,11,2345,2709,5054,46.398891966759,53.601108033241
13,11,2367,2325,4692,50.447570332480815,49.552429667519185
14,13,2949,4206,7155,41.21593291404612,58.78406708595388
15,7,1327,1283,2610,50.842911877394634,49.157088122605366
16,9,1707,2179,3886,43.9269171384457,56.0730828615543
17,14,3262,4328,7590,42.97760210803689,57.02239789196311
18,11,2721,2803,5524,49.257784214337434,50.742215785662566
19,5,1355,1161,2516,53.85532591414945,46.14467408585055
20,6,1386,1919,3305,41.93645990922844,58.06354009077156
21,3,831,975,1806,46.01328903654485,53.98671096345515
22,4,1120,1228,2348,47.700170357751276,52.299829642248724
23,4,1144,1249,2393,47.80610112829085,52.19389887170915
24,6,1386,2143,3529,39.2745820345707,60.7254179654293
